client_code,product,push_notification
1,Кредит наличными,"Айгерим, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
2,Премиальная карта,"Данияр, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
3,Кредит наличными,"Сабина, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
4,Кредит наличными,"Тимур, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
5,Кредит наличными,"Камилла, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
6,Кредит наличными,"Аян, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
7,Премиальная карта,"Руслан, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
8,Премиальная карта,"Мадина, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
9,Премиальная карта,"Арман, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
10,Премиальная карта,"Карина, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
11,Премиальная карта,"Бауржан, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
12,Кредит наличными,"Жанар, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
13,Кредит наличными,"Алина, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
14,Кредит наличными,"Диас, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
15,Кредит наличными,"Нурия, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
16,Кредит наличными,"Ерасыл, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
17,Кредит наличными,"Жанель, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
18,Кредит наличными,"Санжар, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
19,Кредит наличными,"Азамат, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
20,Обмен валют,"Анель, вы часто платите в None. В приложении выгодный обмен и авто-покупка по целевому курсу. Настроить обмен."
21,Премиальная карта,"Павел, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
22,Кредит наличными,"Аружан, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
23,Обмен валют,"Темирлан, вы часто платите в None. В приложении выгодный обмен и авто-покупка по целевому курсу. Настроить обмен."
24,Кредит наличными,"Гульмира, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
25,Кредит наличными,"Адиль, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
26,Кредит наличными,"Маржан, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
27,Кредит наличными,"Нурсултан, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
28,Кредит наличными,"Алтынай, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
29,Кредит наличными,"Сая, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
30,Кредит наличными,"Ербол, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
31,Премиальная карта,"Дамир, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
32,Премиальная карта,"Алия, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
33,Кредит наличными,"Мерей, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
34,Кредит наличными,"Инкар, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
35,Инвестиции,"Самат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
36,Инвестиции,"Назым, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
37,Инвестиции,"Гульнар, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
38,Премиальная карта,"Серик, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
39,Инвестиции,"Ляззат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
40,Инвестиции,"Асхат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
41,Инвестиции,"Сандугаш, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
42,Инвестиции,"Рустем, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
43,Инвестиции,"Нуртас, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
44,Инвестиции,"Айнагуль, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
45,Кредит наличными,"Диана, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
46,Кредит наличными,"Арсен, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
47,Кредит наличными,"Камшат, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
48,Кредит наличными,"Ержан, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
49,Премиальная карта,"Амина, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
50,Премиальная карта,"Тимурлан, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
51,Премиальная карта,"Жанат, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
52,Премиальная карта,"Милана, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
53,Премиальная карта,"Расул, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
54,Премиальная карта,"Виктория, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
55,Премиальная карта,"Асель, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
56,Кредит наличными,"Нуркен, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
57,Премиальная карта,"Жания, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
58,Кредит наличными,"Султан, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
59,Премиальная карта,"Динара, ваш статус открывает премиум-привилегии. Кешбэк до 4% и бесплатное обслуживание. Оформить."
60,Кредит наличными,"Ермек, если нужен запас на крупные траты — можно оформить кредит наличными с гибкими выплатами. Узнать доступный лимит."
